"","Ticker","Name","Market.Cap","Hanjo.Industry","Industry","X1.Year..Move","X5.year..Move"
"1"," AMS","Anglo American Platinum",87242090121,"Mining","Platinum",5.72,-67.22
"2"," ANG","AngloGold Ashanti",70172420697,"Mining","Gold Mining",-1.22,-47.87
"3"," APN","Aspen Pharmacare Holdings",140960878183,"Other","Pharmaceuticals",17.31,197.81
"4"," ARI","African Rainbow Minerals",24668544918,"Mining","Metals & Minerals ",65.19,-40.19
"5"," ASR","Assore",39454334270,"Mining","Metals & Minerals",175.77,15.74
"6"," EXX","Exxaro Resources",33638370450,"Mining","Coal",50.8,-46.2
"7"," FSR","FirstRand",293320127572,"Banking","Banks",14.85,127.94
"8"," GFI","Gold Fields",37108632375,"Mining","Gold Mining ",-31.56,-64.15
"9"," IMP","Impala Platinum Holdings",37694130791,"Mining","Platinum",53.13,-68.53
"10"," INL","Investec",29131707281,"Banking","nvestment Services",-4.7,97.89
"11"," IPL","Imperial Holdings",36676488547,"Other","Transportation Services",59.04,30.79
"12"," KIO","Kumba Ore",67470569833,"Mining","Steel",261.17,-60.84
"13"," MTN","MTN",220459561686,"Telecomms","Telecom",-21.48,-12.85
"14"," NPN","Naspers",928681248599,"Telecomms","Broadcasting",18.38,425.81
"15"," REM","Remgro",123148797528,"Other","Diversified Industrials",-6.31,81.8
"16"," RMH","RMB",94584115606,"Banking","Banks",15.9,121.27
"17"," SBK","Standard Bank",240108964187,"Banking","Banks",26.84,35.19
"18"," SHP","Shoprite",100764850020,"Retail","Food & Drug Retailers",19.92,31.7
"19"," SLM","Sanlam",146670141266,"Financials","Life Assurance",22.45,124.92
"20"," SOL","Sasol",246870112668,"Mining","Chemicals - Speciality ",-11.56,-5.37
"21"," TBS","Tigerbrands",81650821585,"Retail","Food Processors",41.7,70.38
"22"," TRU","Truworths",36867757212,"Retail","Retailers ",-11.16,4.89
"23"," WHL","Woolworths",76865406054,"Retail","Retailers",-15.55,72.28
